"","name","taal","m"
"00730","জগতে আনন্দযজ্ঞে আমার নিমন্ত্রণ।","একতাল","দাদরা"
"00731","গায়ে আমার পুলক লাগে, চোখে ঘনায় ঘোর--","ত্রিতাল","তালমুক্ত"
"00732","আলোয় আলোকময় করে হে এলে আলোর আলো।","তেওরা","তেওড়া"
"00733","আজি এ আনন্দসন্ধ্যা সুন্দর বিকাশে, আহা॥","তেওরা","তেওড়া"
"00734","বাজে বাজে রম্যবীণা বাজে--","তেওরা","তেওড়া"
"00735","বিপুল তরঙ্গ রে, বিপুল তরঙ্গ রে।","তেওরা","তেওড়া"
"00739","আনন্দধারা বহিছে ভুবনে","ত্রিতাল","তিনতালা"
"00740","নব আনন্দে জাগো আজি নবরবিকিরণে","ত্রিতাল","তিনতালা"
"00744","হৃদয়বাসনা পূর্ণ হল আজি মম পূর্ণ হল, শুন সবে জগত্জনে॥","মুক্তছন্দ","তালমুক্ত"
"00745","ক্ষত যত ক্ষতি যত মিছে হতে মিছে","কাহারবা","কাওয়ালি(৪/৪)"
"00747","আজিকে এই সকালবেলাতে","কাহারবা","দাদরা"
"00750","মহাবিশ্বে মহাকাশে মহাকাল-মাঝে","তেওরা","তেওড়া"
"00752","আমার মুক্তি আলোয় আলোয় এই আকাশে","তেওরা","তেওড়া"
"00753","আমার প্রাণে গভীর গোপন মহা-আপন সে কি","তেওরা","রুপক"
"00754","আজি মর্মরধ্বনি কেন জাগিল রে!","ত্রিতাল","তিনতালা"
"00762","আমি যখন তাঁর দুয়ারে ভিক্ষা নিতে যাই তখন যাহা পাই","কাহারবা","দাদরা"
"00775","নাই নাই ভয়, হবে হবে জয়, খুলে যাবে এই দ্বার--","কাহারবা","কাওয়ালি(৪/৪)"
"00780","মাতৃমন্দির-পুণ্য অঙ্গন কর' মহোজ্জল আজ হে","তেওরা","তেওড়া"
"00782","আনন্দধ্বনি জাগাও গগনে!","তালফেরতা","তেওড়া"
"00800","জননীর দ্বারে আজি ওই শুন গো শঙ্খ বাজে।","কাহারবা","একতাল(৪/৪/৪)"
"00801","আজি এ ভারত লজ্জিত হে","ত্রিতাল","তিনতালা"
"00814","নূপুর বেজে যায় রিনিরিনি","কাহারবা","কাওয়ালি(৪/৪)"
"00817","মেঘছায়ে সজল বায়ে মন আমার","২ + ২ ছন্দ","তালমুক্ত"
"00824","বাজিবে, সখী, বাঁশি বাজিবে-","তেওরা","তেওড়া"
"00831","যদি বারণ কর তবে গাহিব না।","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"00832","কেন বাজাও কাঁকন কনকন কত ছলভরে।","তেওরা","তেওড়া"
"00853","সখী, ওই বুঝি বাঁশি বাজে-- বনমাঝে কি মনোমাঝে॥","ত্রিতাল","তিনতালা"
"00858","তবে শেষ করে দাও শেষ গান, তার পরে যাই চলে।","ত্রিতাল","তিনতালা"
"00861","তুমি যেয়ো না এখনি।","ত্রিতাল","তিনতালা"
"00876","শেষ বেলাকার শেষের গানে","তেওরা","তেওড়া"
"00882","কেন আমায় পাগল করে যাস ওরে চলে-যাওয়ার দল।","তেওরা","তেওড়া"
"00886","যাবার বেলা শেষ কথাটি যাও বলে","তেওরা","তেওড়া"
"00890","মরণ রে, তুঁহুঁ মম শ্যামসমান।","মুক্তছন্দ-কাহারবা","কাহারবা"
"00894","ও আমার ধ্যানেরই ধন","ষষ্ঠী","দাদরা"
"00901","আমার প্রাণের ' পরে চলে গেল কে","আড়খেমটা","দাদরা"
"00906","বাজে করুণ সুরে হায় দূরে","মুক্তছন্দ","কাহারবা"
"00912","ভুল করেছিনু, ভুল ভেঙেছে।","কাহারবা","দাদরা"
"00917","ছি ছি, মরি লাজে, মরি লাজে-","২ + ২ ছন্দ","তালমুক্ত"
"00930","তুমি কোন্‌ ভাঙনের পথে এলে সুপ্তরাতে।","২ + ২ ছন্দ","তালমুক্ত"
