"id","name","taal","abartan","tableWidth"
"00253","তোমার দুয়ার খোলার ধ্বনি ওই গো বাজে হৃদয়মাঝে","দাদরা","২",18
"00255","তোমার পতাকা যারে দাও","কাহারবা","১",21
"00256","তোমার সোনার থালায় সাজাব আজ","তিনতালা","১",26
"00257","দীর্ঘ জীবনপথ,কত দুঃখতাপ","ঝাঁপ","১",15
"00258","দুঃখ যদি না পাবে তো","কাহারবা","২",24
"00259","দুখ দিয়েছ,দিয়েছ ক্ষতি নাই","ঝাঁপ","১",15
"00260","দুখের বেশে এসেছ বলে","ঝম্পক","১",15
"00261","নয় নয় এ মধুর খেলা","দাদরা","১",21
"00262","না বাঁচবে আমায় যদি মারবে কেন তবে?","ঝম্পক","৩",22
"00263","পিনাকেতে লাগে টঙ্কার","দাদরা","২",17
"00264","প্রচণ্ড গর্জনে আসিল  একি দুর্দিন","সুরফাঁক","১",14
"00265","প্রাণে গান নাই মিছে তাই","দাদরা","২",17
"00266","বজ্রে তোমার বাজে বাঁশি","কাহারবা","১",21
"00267","বিপদে মোরে রক্ষা করো","ঝম্পক","১",15
"00269","মোর মরণে তোমার হবে জয়","কাহারবা","২",21
"00270","যখন তুমি বাঁধছিলে তার সে যে বিষম ব্যথা-","তেওড়া","২",21
"00271","যখন তোমায় আঘাত করি","দাদরা","২",17
"00274","যেতে যেতে একলা পথে","ঝম্পক","১",15
"00275","সর্ব খর্বতারে দহে তব ক্রোধদাহ-","দাদরা","২",17
"00276","সুখে আমায় রাখবে কেন, রাখো তোমার কোলে","দাদরা","২",19
"00277","হার-মানা হার পরার তোমার গলে","দাদরা","২",19
"00278","হৃদয় আমার প্রকাশ হল অনন্ত আকাশে","ষষ্ঠী(৪/২)","২",17
"00279","হে মহাদুঃখ","কাহারবা","২",21
"00281","আমার মনের মাঝে যে গান বাজে","দাদরা","১",17
"00282","কাহার গলায় পরাবি গানের","দাদরা","১",17
"00283","যে ছায়ারে ধরব বলে","দাদরা","২",17
"00287","ওরে আমার হৃদয় আমার","দাদরা","১",17
"00289","মনে রবে কি না রবে আমারে","কাহারবা","১",24
"00291","নিদ্রাহারা রাতের এ গান","দাদরা","১",17
"00292","আমার কন্ঠ হতে গান কে নিল ভুলায়ে","দাদরা","১",17
"00293","যায় নিয়ে যায় আমায় আপন গানের টানে","তালমুক্ত","১",25
"00294","দিয়ে গেনু বসন্তের এই গানখানি","কাওয়ালি(৪/৪)","২",24
"00295","গান আমার যায় ভেসে যায়","দাদরা","২",20
"00296","সময় কারো যে নাই","দাদরা","১",20
"00298","আসা-যাওয়ার পথের ধারে","দাদরা","১",19
"00299","গানের ভেলায় বেলা-অবেলায়","দাদরা","১",19
"00300","অনেক দিনের আমার যে গান","দাদরা","২",19
"00301","পাখি আমার নীড়ের পাখি","দাদরা","১",17
"00302","ছুটির বাঁশি বাজল যে ওই","দাদরা","২",20
"00303","বাঁশি আমি বাজাই নি","দাদরা","২",17
"00306","পাছে সুর ভুলি এই ভয় হয়","কাহারবা","২",21
"00307","বিরস দিন,বিরল কাজ","ঝম্পক","১",15
"00308","বাজিল কাহার বীণা মধুর স্বরে","কাহারবা","২",21
"00310","আমার পরান লয়ে কী খেলা খেলাবে ওগো","দাদরা","১",26
"00311","সুন্দর হৃদিরঞ্জন তুমি","একতালা","১",21
"00312","আমারে করো তোমার বীণা","দাদরা","১",21
