"id","name","year","porjaay","section","number","raag","taal","swaralipikar"
00159,"তোরা শুনিস নি কি শুনিস নি তার পায়ের ধ্বনি",1910,পূজা,বিরহ,130,পিলু,তেওরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00160,"হে অন্তরের ধন",1914,পূজা,বিরহ,131,সুর অজ্ঞাত,NA,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00161,"তোমার পূজার ছলে তোমায় ভুলেই থাকি।",1914,পূজা,বিরহ,132,পিলু,দাদরা,অনাদিকুমার দস্তিদার
00162,"নীরবে আছ কেন বাহিরদুয়ারে--",1928,পূজা,বিরহ,133,পিলু,তেওরা,দিনেন্দ্রনাথ ঠাকুর
00163,"তোমার আমার এই বিরহের অন্তরালে",1928,পূজা,বিরহ,134,পিলু,অর্ধঝাঁপ,দিনেন্দ্রনাথ ঠাকুর
00164,"নিশা-অবসানে কে দিল গোপনে আনি",1927,পূজা,বিরহ,135,মিশ্র রামকেলি,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00166,"যে দিন ফুটল কমল কিছুই জানি নাই",1912,পূজা,বিরহ,137,বাহার-পঞ্চম,তেওরা,ভীমরাও শাস্ত্রী
00168,"যদি তোমার দেখা না পাই, প্রভু, এবার এ জীবনে",1909,পূজা,বিরহ,139,কাফি,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00169,"হেরি অহরহ তোমারি বিরহ ভুবনে ভুবনে রাজে হে",1909,পূজা,বিরহ,140,সাহানা,চৌতাল বা একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; দিনেন্দ্রনাথ ঠাকুর; ভীমরাও শাস্ত্রী
00170,"আমার গোধূলিলগন এল বুঝি কাছে গোধূলিলগন রে।",1905,পূজা,বিরহ,141,মিশ্র পূরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00171,"নাই বা ডাকো রইব তোমার দ্বারে",1914,পূজা,বিরহ,142,তিলক কামোদ,দাদরা,সুধীরচন্দ্র কর
00172,"সকাল-সাঁজে",1914,পূজা,বিরহ,143,ইমন-বাউল,কাহারবা,ইন্দিরা দেবী
00173,"জগত জুড়ে উদার সুরে আনন্দগান বাজে",1909,পূজা,বিরহ,144,ইমন‌কল্যাণ‌,তেওরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়
00174,"কোন্‌ শুভখনে উদিবে নয়নে অপরূপ রূপ-ইন্দু",1909,পূজা,বিরহ,145,বেহাগ,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; কাঙালীচরণ সেন
00175,"আজ জ্যোৎস্নারাতে সবাই গেছে বনে",1914,পূজা,বিরহ,146,বেহাগ,তেওরা,দিনেন্দ্রনাথ ঠাকুর
00176,"তুমি এ-পার ও-পার কর কে গো ওগো খেয়ার নেয়ে?",1905,পূজা,বিরহ,147,পিলু,দাদরা,শৈলজারঞ্জন মজুমদার
00177,"বেলা গেল তোমার পথ চেয়ে।",1895,পূজা,বিরহ,148,মিশ্র পূরবী,একতাল,জ্যোতিরিন্দ্রনাথ ঠাকুর
00178,"তোর ভিতরে জাগিয়া কে যে",1926,পূজা,বিরহ,149,আশাবরী-ভৈরবী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00179,"তুমি বাহির থেকে দিলে বিষম তাড়া",1929,পূজা,বিরহ,150,বাউল,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00180,"এখনো গেল না আঁধার, এখনো রহিল বাধা।",1920,পূজা,বিরহ,151,পিলু-বারোয়াঁ,ত্রিতাল,সাহানা দেবী
00181,"লক্ষ্মী যখন আসবে তখন কোথায় তারে দিবি রে ঠাঁই?",1914,পূজা,বিরহ,152,বাউল (বা ভৈরবী),দাদরা (বা ষষ্ঠী),সুধীরচন্দ্র কর এবং শৈলজারঞ্জন মজুমদার
00182,"যেতে যেতে চায় না যেতে, ফিরে ফিরে চায়--",1914,পূজা,বিরহ,153,কীর্তন,একতাল,সুধীরচন্দ্র কর
00183,"বেসুর বাজে রে",1914,পূজা,বিরহ,154,ভৈরবী-রামকেলি,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00184,"আমার কণ্ঠ তাঁরে ডাকে",1913,পূজা,বিরহ,155,তিলক কামোদ-বাউল,ত্রিতাল,দিনেন্দ্রনাথ ঠাকুর
00185,"দেবতা জেনে দূরে রই দাঁড়ায়ে",1910,পূজা,বিরহ,156,সিন্ধু‌-খাম্বাজ,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00186,"ক্লান্তি আমার ক্ষমা করো প্রভু",1914,পূজা,বিরহ,157,ইমন‌কল্যাণ‌,দাদরা,ইন্দিরা দেবী; দিনেন্দ্রনাথ ঠাকুর
00187,"অগ্নিবীণা বাজাও তুমি কেমন ক'রে!",1914,পূজা,বিরহ,158,সাহানা,তেওরা,অনাদিকুমার দস্তিদার
00188,"পথ চেয়ে যে কেটে গেল কত দিনে রাতে",1914,পূজা,বিরহ,159,ভৈরবী,ত্রিতাল,সুধীরচন্দ্র কর
00189,"সন্ধ্যা হল গো-- ও মা, সন্ধ্যা হল, বুকে ধরো।",1914,পূজা,বিরহ,160,ইমন-পূরবী,একতাল,দিনেন্দ্রনাথ ঠাকুর
00190,"তুমি ডাক দিয়েছ কোন সকালে কেউ তা জানে না",1911,পূজা,বিরহ,161,পিলু-ভীমপলশ্রী,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00191,"এ যে মোর আবরণ",1910,পূজা,বিরহ,162,সুর অজ্ঞাত,NA,দিনেন্দ্রনাথ ঠাকুর
00192,"সকল জনম ভরে ও মোর দরদিয়া",1911,পূজা,বিরহ,163,কীর্তন,মুক্তছন্দ,সুধীরচন্দ্র কর
00193,"আমার ব্যথা যখন আনে আমায় তোমার দ্বারে",1914,পূজা,বিরহ,164,পিলু-ভীমপলশ্রী,একতাল,দিনেন্দ্রনাথ ঠাকুর
00194,"যতবার আলো জ্বালাতে চাই, নিবে যায় বার বারে।",1910,পূজা,বিরহ,165,কামোদ,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00195,"আবার এরা ঘিরেছে মোর মন।",1909,পূজা,বিরহ,166,আশাবরী-ভৈরবী,ঝম্পক,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00196,"তুমি নব নব রূপে এসো প্রাণে",1894,পূজা,বিরহ,167,রামকেলি,ত্রিতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; কাঙালীচরণ সেন; দিনেন্দ্রনাথ ঠাকুর; ভীমরাও শাস্ত্রী
00197,"হৃদয়নন্দন বনে নিভৃত এ নিকেতনে",1894,পূজা,বিরহ,168,মিশ্র পঞ্চম বা সোহিনী,ঝাঁপতাল,অনুল্লিখিত; কাঙালীচরণ সেন
00198,"বসে আছি হে কবে শুনিব তোমার বাণী।",1887,পূজা,বিরহ,169,আলাহিয়া বিলাবল,একতাল,কাঙালীচরণ সেন
00199,"ডাকিছ শুনি জাগিনু প্রভু, আসিনু তব পাশে।",1885,পূজা,বিরহ,170,মিশ্র ভৈরব,একতাল,কাঙালীচরণ সেন
00200,"আমি কারে ডাকি গো",1911,পূজা,বিরহ,171,সুর অজ্ঞাত,NA,কাঙালীচরণ সেন
